Soil Type,Rainfall (mm),Temperature (°C),Humidity (%),pH Level,Nitrogen (N),Phosphorus (P),Potassium (K),Irrigation Type,Farm Size (hectares),Season,Altitude (m),Region,Sunlight Hours,Water Availability (liters),Recommended Crop
Sandy,813.0490451152059,33.422847582053194,44.36669152178017,7.471861568943417,25.66472071860958,45.28833604155117,70.89000062515825,Flood,9.78314600528894,Winter,1157.9348503088233,North,8.703740550649014,2026.9664053661973,Soybean
Loam,735.3931883914491,23.794012713079603,46.02175064344312,7.179413393324291,75.21143326969748,94.57151084410245,82.37444619122996,Drip,13.940258389259451,Summer,948.0593936076335,North,8.543398511981989,1403.5552084234357,Rice
Loam,653.5287465058939,11.744913865164273,20.09475380008277,8.46538096130403,51.287474230526776,67.6820043630047,85.70290283305779,Drip,12.350341260426589,Rainy,386.5941735602264,South,9.055269511476256,3422.281095575721,Rice
Sandy,1408.3878875221735,39.84598951509301,40.98603692956651,6.091578025173038,32.08545427498436,30.158686987355154,41.51071768549326,Drip,10.993672820362255,Rainy,51.36741166486098,West,11.670303320367621,3719.4914957886995,Maize
Sandy,,11.733416829890999,65.25211191465513,6.189901523276369,59.60501157609502,18.83025249171064,8.933990229186684,Drip,9.641969681297205,Rainy,1147.8683414457869,North,9.28922263675291,3571.72483264304,Wheat
Loam,1454.5349838664663,30.851056865756597,88.193611067145,5.276287910312944,99.5734452051323,30.37350462250994,43.778147729961994,Drip,6.228356524034034,Winter,1478.5506225710858,East,11.719065229578835,4444.520972179125,Potato
Clay,,39.51036775790241,79.29425788887296,6.549793477903081,43.52622796565539,9.301740926267499,23.07345902070538,Flood,5.90826185363027,Summer,1224.374024443831,North,7.081740783693844,2945.7033401042872,Sugarcane
Sandy,1150.1277177647376,17.175403126477768,21.651647525187038,5.913669841821968,92.06914007786196,14.386796634332978,29.11964549966242,Sprinkler,10.254513839053137,Winter,717.2995963270922,North,10.344815872995799,1537.8281630682577,Barley
Clay,1419.8425938673493,14.267481060615886,82.89924232723875,6.2018534576217546,34.50168399245661,10.466044034648114,77.22675568375058,Sprinkler,3.631761355378156,Rainy,1360.4625290287045,South,10.873437231652483,2157.6205228176505,Cotton
Clay,435.60298601535817,13.641548182672867,74.82388893090382,7.921001265894697,5.4732706924985886,42.29435437415577,7.552708602588687,Flood,7.143365759708631,Summer,644.2791260216076,East,10.074772988009173,3649.719893685407,Wheat
Clay,286.44514757681077,19.098254427027868,74.62632864996863,8.274195797346234,20.424210636842886,79.55783762575864,82.75812174807021,Sprinkler,6.817595856846942,Rainy,811.1544221530279,East,9.641533681359242,3452.4878949662393,Maize
Sandy,1163.4568440770768,13.031374330319402,52.05970313025,5.65006575201815,41.86951433276842,14.138355421634019,42.76690858241691,Sprinkler,11.949089630891917,Summer,741.8381627237407,West,9.388876686517094,3124.01251897185,Maize
Clay,946.8150471338855,30.76484025082396,47.8603705068152,6.30378126043713,21.963492859456903,13.032043317233589,59.60639311005951,Sprinkler,1.8003048570789795,Summer,699.0546153650112,East,11.165582895472177,3731.8576747547486,Rice
Sandy,1294.3774097857536,11.868753943901881,41.204101018323485,8.25020696740388,0.02270382182555375,64.34289495173307,8.9652231235679,Flood,16.678539265169356,Winter,1174.0266154761632,North,10.929879582987,3549.5634014931975,Tomato
Clay,381.7040896141764,25.28266384449369,24.598640126805606,5.216329612412279,91.50015377475272,19.71829819680663,33.735907835727964,Flood,11.466378417495841,Summer,813.8149155407634,East,6.733732327083597,4525.299557859807,Barley
Loam,1233.8475054178573,39.9009056155893,35.976475444558936,5.323261848389825,84.3879411230929,9.76100381089916,8.970091901484578,Sprinkler,13.581120275130738,Rainy,509.2398269365633,East,11.09152594218527,3344.0655099131864,Wheat
Loam,,34.41910808518057,37.262254448461725,5.569768462221803,74.22922314869471,16.684857820557763,96.15437228811096,Sprinkler,14.21033112330894,Summer,424.32934310479357,North,8.484411716642654,4114.4054348022255,Rice
Sandy,412.75272572541587,28.456583146930328,63.788044246907035,7.083244919444062,16.781459564602862,92.37313958767761,80.72616493262504,Sprinkler,6.183940668429462,Rainy,104.73360960277842,South,7.5221809799748645,1994.8286238658716,Wheat
Loam,413.5455373102908,19.18760862359835,72.32110846176857,5.526652948520991,12.036357620998606,82.14712527761908,45.963275435646025,Drip,9.672245564004896,Winter,895.6329847304166,West,11.218611408083556,3712.730338356272,Soybean
Loam,1258.9471363007967,28.716875088749156,53.166687987856264,8.388267335077568,6.760474947238315,35.40645623550941,22.36025483236711,Drip,19.14679613945851,Rainy,383.4440523314996,West,8.59214879780245,4608.776473530703,Potato
Clay,1064.75638690506,25.81124391734955,24.049111461301244,6.563500845404821,72.40291887729212,65.58207673273928,93.34551052498522,Drip,15.45075214093789,Summer,264.7941869237555,South,10.850188141060901,2542.9293115993332,Cotton
Sandy,879.9850521998551,22.782501516711143,87.04528606917427,6.755312861225582,92.88079606878853,53.72756736680381,34.45965957269718,Flood,19.406359066852115,Rainy,998.0534475501327,North,7.580421671735067,4116.4167493545865,Barley
Clay,666.4796293605532,13.921311302205984,85.99070233658786,5.863305155318923,43.053582091303696,67.7124263482564,16.098443168737475,Sprinkler,15.051959730352621,Rainy,1037.7534238412459,West,6.023575928533306,3899.1572047817417,Maize
Clay,1340.3607030570408,36.598126457214,74.9632680203886,6.648360883521567,11.914067199604816,68.26711524627594,56.31643884539549,Flood,3.924202724316089,Summer,1140.6245937736157,South,8.972755157417666,1238.10478748729,Tomato
Clay,710.178639649426,23.493539464639674,89.39295310949544,7.316697714229541,51.23928207321066,62.8734015059993,94.37741203448161,Flood,1.7584497349711865,Rainy,780.1864996909577,South,6.601369539857306,3326.033238496289,Sugarcane
Clay,1261.5792713130502,15.838675354622952,58.113763296018405,7.6291199793391495,34.88319074586301,26.610136853730857,0.3830290500322575,Flood,11.764398016033441,Summer,1346.3791775456355,South,10.526255733149458,1520.7573968032095,Potato
Clay,770.8753811412839,21.03278052631869,87.39378451772443,7.638538289484695,37.48249243499977,3.900642076281813,23.812484325399875,Sprinkler,7.477358954200887,Winter,1407.6969924274304,West,7.656450816416462,4869.276688922364,Barley
Clay,690.0277582523798,22.42389257586781,25.292352843172555,7.022618894429309,62.13306241557073,45.55667819901088,93.84476404104076,Drip,5.871429247694319,Rainy,1220.6878626991097,West,8.661873879620872,4245.630010802624,Soybean
Clay,801.4837213704884,34.82613686700623,45.59765237829599,8.1652592124785,71.87181132622024,89.09738846907038,17.108596685716204,Sprinkler,16.240614430295643,Winter,971.6105489118714,West,6.522201390549325,1438.8952049884804,Barley
Sandy,591.7912364133847,32.00843141684206,35.776688760473604,7.8609274655713826,11.060359887316086,56.94972585185759,11.324345163981986,Sprinkler,7.656368708097974,Rainy,490.3953827072236,West,7.719955490683516,1487.0079905907137,Cotton
Loam,1171.8921942291263,33.07914680924019,33.708315889398904,7.649668401445189,3.5590230806476386,83.23910417019079,57.01872157998045,Flood,6.6815189098189265,Rainy,1475.2701363493206,East,10.688941459551431,3377.895419650476,Cotton
Clay,853.536507120223,10.330937932859417,29.856206422487325,5.194619325881612,99.43303026857149,99.16243429612281,86.18438232948299,Flood,17.074758066795702,Winter,447.4974424283106,South,6.9095274714139165,2379.5566966927336,Wheat
Clay,501.8765036908625,22.484619945392843,63.56895490961976,5.024072867768773,23.272834891555185,16.361620413827627,47.71098176939261,Flood,17.002603061485974,Rainy,343.85253688612505,East,9.882957366761744,1139.6234362924372,Rice
Clay,1369.446945256939,24.44032454905971,74.69252990231135,5.743565470184155,5.383052490845907,69.17776391419824,99.45642566845248,Drip,7.449149436223604,Rainy,691.123464990545,South,11.504555116827007,3166.5660313322123,Cotton
Clay,699.0585877851748,10.575768304691701,60.480887959425246,7.3223325786970825,18.987532909591998,67.42935737000246,67.91716995379929,Drip,16.73372466922634,Winter,132.41882753296326,West,10.079020558546322,2551.3803987433876,Tomato
Clay,906.6187194481852,17.79439626235103,30.28738967117468,6.439191211088911,3.895784634846422,97.99554473582785,7.407490721044773,Drip,17.09018056148688,Rainy,1468.8169737740966,West,10.86613013575336,1404.3059694869708,Sugarcane
Clay,1378.413744253911,32.80869469366405,76.77866389534296,6.4084219075475914,39.181089461717164,98.56007339528003,99.28321316819753,Sprinkler,8.766645433078493,Summer,903.228656803816,East,6.653829775823494,4207.681569023931,Soybean
Loam,1011.5093946881897,14.113291171869971,64.51682950146099,8.096054108803648,80.24017844513243,68.66786117241294,40.78942367801904,Flood,1.7962260390788454,Rainy,857.5805329130541,North,7.504390956012327,4660.307061115223,Maize
Loam,351.96745292087326,26.05930394357775,47.171599428889685,8.134469968461435,34.124444975772064,24.361479198219428,28.740253384548254,Sprinkler,0.530900567093632,Rainy,1000.9046058545938,West,11.367233113443547,4026.37573605652,Cotton
Clay,1421.7817606975177,16.456056160517125,67.18912068752441,8.18211342418755,44.418340687836654,79.85558381305991,55.787918357788556,Drip,10.704203026335403,Rainy,770.6842892769496,North,10.290633681708535,4289.689240065109,Maize
Loam,1016.0204689928432,10.363623239316798,38.193348546998294,6.098573267802596,67.55867735674389,10.70291342110381,30.43075918208643,Flood,7.209472120721936,Winter,96.4920997870853,South,9.837322958263867,1865.9622690644696,Cotton
Sandy,635.377299054212,17.236043727986242,44.16345459459474,7.418695344587416,50.889407006988016,78.06993041716287,8.645750712015232,Drip,19.944071936088136,Summer,937.8513688185753,East,9.9826004167302,2054.291803674404,Tomato
Clay,381.0536944624034,39.27621264730161,84.22400901923932,5.9507161344602935,86.14456860213242,91.01961241446965,0.14283430791767193,Flood,15.562014492732041,Summer,1088.4521215868244,North,8.485203325827861,1834.110161196751,Maize
Sandy,1232.2327460513848,34.046113356489684,40.33531539699943,5.667134415760574,86.60356750457565,38.28333947684352,44.95833529202623,Flood,15.344871398833044,Rainy,654.286137904877,North,6.267339789705919,4060.2537254622557,Rice
Sandy,1006.0945827070676,38.787299329631,52.89917877105556,5.646213600715792,0.9910695491153643,63.06352949830804,83.68634222265922,Sprinkler,19.1272339816032,Winter,1148.0785795032298,West,10.706649252424373,4791.668315737988,Soybean
Clay,893.4994195692179,24.63562131779087,82.30987961772102,6.197376673022579,77.80463064831991,43.01427320968263,57.231518563007654,Sprinkler,17.810625758919755,Winter,379.1518840407099,North,10.072279417292123,3867.3488269356103,Sugarcane
Loam,1362.060357966245,13.292085960325105,69.54049451872692,6.504851669229376,46.073360024167386,43.776505498812845,99.92072989434408,Drip,6.70465584939958,Summer,370.85105704596685,North,8.836826784676347,4525.867059518224,Tomato
Sandy,1225.17637459189,26.43878466921079,24.35422583152919,7.908322098692739,98.88405413036631,31.037088910812006,28.68466456472,Sprinkler,3.736750821275589,Winter,284.05463214698227,South,11.398557692209545,3554.79637953269,Rice
Clay,397.1773436525765,23.631320036798826,30.311213099527926,5.419618827154492,48.323207587543514,76.21296204503246,28.04550647600553,Sprinkler,15.044899168776903,Rainy,589.3924016942847,East,8.016957989910594,2550.6396022351964,Sugarcane
Sandy,605.2386881342127,35.330712482188474,20.54891135403418,7.57224046588213,98.68959453882975,93.61765641665052,15.97494602339442,Sprinkler,7.876340926816024,Rainy,1278.167451314171,West,7.765930465387416,2703.046459721221,Rice
Sandy,523.0358817588055,12.942477423527338,64.16452531604143,6.860092199662569,75.45693612057366,94.07508592344611,16.40635882653352,Flood,9.726866706803651,Winter,1250.4724901161433,West,11.236777950476657,1301.2857286696194,Rice
Sandy,1167.13018034448,24.647234110653343,51.33713977872928,6.007808699365974,24.860488461330633,17.478128487493382,28.51865960100478,Sprinkler,12.792755759859125,Rainy,605.0951015470805,North,10.781925928553914,1125.8287809841042,Rice
Sandy,243.5921651565132,14.501459940819528,29.399239563159288,6.7248685458648865,53.83949792869577,87.4743649656566,79.28400452735272,Drip,18.203517200237194,Summer,904.222167171343,South,9.089878863890068,3781.90241675631,Wheat
Loam,940.8565903327114,19.740277806701798,87.05538847397393,6.0497972442195795,99.21356394785828,73.74314414271221,90.57567906364478,Flood,8.672211196583836,Rainy,1095.1836588886276,North,6.7844084367471,2753.715568044722,Sugarcane
Sandy,1191.1962914628975,32.12071232163399,57.076180676193395,7.08628684333407,85.75306077519237,25.283740069028926,97.50871697076813,Flood,15.774679359277547,Winter,399.74982321063334,North,7.290428828790315,3208.860272218518,Rice
Sandy,1339.7953277902743,24.280543881062997,36.93253058790224,6.518453729993355,9.73668937912211,6.728461292151455,23.228965409645262,Sprinkler,5.73262592985582,Summer,293.80457454738325,West,9.93736794245284,3230.6449904896654,Potato
Sandy,644.7062733306798,21.276648554373082,55.04224998082953,5.575419351776075,70.6371996809996,26.799726688437797,88.12975456140917,Flood,14.110449923010465,Rainy,1459.539190157851,North,8.31024742704247,2109.503253333206,Potato
Loam,1267.6344960736167,21.83428835710106,67.57342329145754,5.408040760944939,34.5579585870813,91.22082367815256,32.82550892773371,Drip,0.5307987110192814,Summer,945.4581041539468,North,11.018839149995827,2903.5700433179627,Cotton
Sandy,343.8212580417694,23.7834030521796,25.336745258149513,6.913434887252455,0.6982261880348117,63.31786748957723,11.28405445168844,Drip,17.494390663067378,Winter,1473.0527966588127,South,11.699730055993225,2883.040886670809,Soybean
Sandy,1300.3879792548737,33.55049631511171,39.22926705335244,8.158445616501362,40.34809690269996,72.10546608978719,87.00249255201656,Flood,1.0924018091120187,Rainy,539.7461813417322,West,10.83382155164951,2553.708884911428,Maize
Loam,365.7352610315771,36.76254066820703,76.48758436187956,6.203851902951899,23.47544217249713,25.715235110909585,63.61056346436186,Sprinkler,14.398698217870392,Rainy,1069.3959649624908,East,8.265272537973342,4282.701533604282,Cotton
Loam,716.4734777284774,38.66004059511785,52.176540928186284,7.565500375279181,81.88692705204716,71.93881555748203,16.47308960810617,Sprinkler,1.4020346905950358,Summer,372.7752729847947,South,10.732118575388544,2804.6560147503833,Wheat
Loam,1236.4839755134196,33.60710158765885,58.26039994226064,7.305314742289184,33.733060884576545,2.812150627792376,42.98312575130026,Flood,5.691791138183067,Rainy,428.74024834717375,South,8.1086500408241,3414.5780980239515,Potato
Sandy,394.8926555534059,19.462206872440383,50.29712015466285,8.260442200083183,82.7523693953817,37.53213457730138,28.725769487706764,Drip,10.195446869352786,Rainy,792.2580758409548,South,7.002600526593803,4582.080481523304,Sugarcane
Loam,498.02681380243394,30.644041182596265,23.07299598501036,7.873433560546993,0.05979388347953085,62.67533485423312,73.6794568710197,Flood,8.688804364290645,Rainy,513.4462819867033,West,6.200359229195144,4464.93449143569,Soybean
Loam,,23.128093721661756,31.602484587410913,6.983118406169121,30.781915002611914,14.609656554132023,45.341623062426805,Sprinkler,4.240804234719706,Rainy,293.0512675688475,North,8.31430027656612,4561.68881511666,Soybean
Sandy,1136.0474975098966,17.640118661381536,51.187914711932365,7.299606743819376,24.116521430776196,82.30035744469347,98.9279945106385,Sprinkler,7.009390778330129,Winter,431.1770178845227,East,11.421355822183692,2080.019985860056,Maize
Loam,,35.22614738277768,34.64298257855495,8.144352633044122,23.3567361068611,23.503129881191864,5.474498225959512,Flood,14.690274216188858,Rainy,101.83517197550373,West,7.4339195265340585,1139.9299532322514,Sugarcane
Sandy,1102.13297780723,11.15279046886975,23.498532006177513,6.398315746054272,6.81866197654627,65.22811128184462,35.50152661362467,Drip,13.550513305303141,Summer,1071.4142511423556,North,7.239078989578704,2044.2671995813168,Maize
Clay,905.541776351875,37.0528597640627,79.05547648362767,6.143781470502221,18.712427041050173,40.51971425753297,48.19001671099774,Flood,1.900384383396356,Winter,763.5691527744993,South,11.818924711446241,2114.8293824828343,Soybean
Loam,527.3387765790386,23.844323938742026,88.6834770414881,5.037838792723187,55.55495698856199,59.604359547764716,50.31335547483198,Drip,15.072658598671284,Summer,186.65244628656214,West,6.150024677103553,4637.441306899872,Wheat
Clay,649.4047915550952,29.116044304248412,75.52000117977175,7.892928759670125,29.13610728377445,10.745055262890812,31.593582238563677,Drip,1.534394683342053,Summer,298.9562900363122,North,10.714692902362525,3596.9709313518824,Tomato
Sandy,436.07703184185334,100.0,79.76494451932669,7.803432451411777,41.73947823291479,1.6912799921607324,72.9240249097568,Flood,11.087064587445797,Summer,198.67508026333383,East,7.928219734445222,1326.8158384089152,Tomato
Loam,1380.9857297337169,36.85353222119609,36.938399122193175,5.36559081335053,37.68668803471885,90.95644273803012,87.47470734889747,Flood,5.571223586822717,Winter,938.2595720000209,East,6.224927741217956,1541.5143840444046,Potato
Sandy,958.4093331959566,29.10009046501622,87.24388828592399,7.019000833964451,87.59049249998945,26.96300087671828,93.8719301977863,Drip,11.959957487416467,Winter,186.605027238116,North,11.506815241257502,1622.7045021679016,Soybean
Clay,721.1068417927319,28.418007542801853,33.78479931173999,6.623935943584106,90.52989990105155,81.96770027804591,80.50933767995262,Drip,5.595903720847586,Winter,1143.7093829010632,West,6.837853981257502,3521.6869926756926,Wheat
Sandy,800.6075447373725,11.999561216820698,86.60008672532825,5.4154818342818904,49.295697165586006,99.93503004722002,85.05801973065994,Drip,19.706680407703704,Rainy,79.7408330145672,South,9.310675702354173,3941.6561020280124,Maize
Loam,1431.46834149536,25.552240658356123,89.63735057761657,8.431988794712533,33.01559503156044,21.143125799891116,55.05453006199955,Drip,6.539699582686871,Summer,411.59489259404353,North,7.644325244577287,4438.575642261585,Wheat
Loam,399.35682405090427,14.50507002451125,69.8205964022234,5.751435606121744,10.680070400236364,26.51707411833556,82.58882264268146,Sprinkler,5.218232395652672,Winter,1341.4666800432653,South,6.391156813108147,4762.5462032249725,Barley
Clay,962.0987816218365,32.12301306164457,88.68006122542754,5.235319630316964,95.3402879382095,66.28597876346657,30.350390914795224,Flood,5.930073172849247,Summer,1091.8704112772568,East,6.299534913980274,1806.818229545767,Maize
Sandy,857.6552825498057,25.366657624380235,59.86778456969726,7.081965828256683,6.022694490029745,96.54486346006212,39.84787621092144,Drip,17.98122071655626,Winter,155.8040827422472,North,6.693340193018033,2239.089938896196,Rice
Loam,994.8905060650421,30.4068333762506,38.16792482232633,7.586033369965614,29.765027756828044,91.58143481907439,31.69130138185443,Flood,12.906267159052224,Winter,1240.6328515035107,East,6.428202083336281,1961.2915229793225,Maize
Clay,223.54323896709266,11.250187018071529,50.589711996593465,5.113552061165154,29.806620117000413,50.28755200655849,46.738733544792545,Drip,14.74833989970514,Winter,764.9009262332969,South,10.563348693119536,2435.046269864551,Potato
Loam,1333.7610816273968,12.543760481374097,61.54926547651502,7.305511735544577,32.04012861402149,79.51102825267246,28.557961623863637,Flood,18.401204946839833,Summer,1277.8353893948024,South,8.913397213700575,4658.660429694997,Tomato
Loam,1411.753767228696,31.48970164188047,25.115709341891048,6.86302156583009,16.428684327240926,13.574585309990105,96.16114422544469,Flood,18.281513454477647,Rainy,921.0726729530704,North,8.057352548093878,3300.450267757446,Maize
Sandy,934.6731386659716,12.1625300799602,63.56402852320723,5.361427531062669,78.31614309236971,97.74381842040123,31.284462800566814,Drip,14.909444008285186,Winter,1038.6578964476453,North,8.510213460792043,3952.7675892979964,Rice
